Nombre_jugador,posicion,seleccion,player_id,Valor_mercado,Total_Lesiones,Años_Expuesto,Tasa_Lambda,Prob_Lesion_Mundial_%,Puntuacion
Manuel Neuer,Portero,Alemania,17259,4000000,15,22,0.682,5.52,4000000
Oliver Baumann,Portero,Alemania,55089,2500000,11,18,0.611,4.96,2500000
Alexander Nübel,Portero,Alemania,195778,12000000,7,11,0.636,5.16,12000000
Antonio Rüdiger,Defensa,Alemania,86202,6000000,15,15,1.0,8.0,6000000
Waldemar Anton,Defensa,Alemania,193004,18000000,15,11,1.364,10.74,18000000
Jonathan Tah,Defensa,Alemania,196357,28000000,15,12,1.25,9.89,28000000
Joshua Kimmich,Defensa,Alemania,161056,35000000,15,13,1.154,9.17,35000000
Nico Schlotterbeck,Defensa,Alemania,388198,55000000,12,8,1.5,11.75,55000000
Nathaniel Brown,Defensa,Alemania,691892,40000000,5,5,1.0,8.0,40000000
David Raum,Defensa,Alemania,318204,25000000,8,10,0.8,6.45,25000000
Malick Thiaw,Defensa,Alemania,521964,45000000,8,6,1.333,10.51,45000000
Aleksandar Pavlović,Mediocampista,Alemania,792380,90000000,12,4,3.0,22.12,90000000
Leon Goretzka,Mediocampista,Alemania,153084,12000000,15,13,1.154,9.17,12000000
Jamie Leweling,Mediocampista,Alemania,518505,40000000,8,7,1.143,9.09,40000000
Jamal Musiala,Mediocampista,Alemania,580195,100000000,15,5,3.0,22.12,100000000
Pascal Groß,Mediocampista,Alemania,82873,2500000,6,17,0.353,2.9,2500000
Angelo Stiller,Mediocampista,Alemania,443710,45000000,13,7,1.857,14.34,45000000
Florian Wirtz,Mediocampista,Alemania,598577,100000000,15,5,3.0,22.12,100000000
Leroy Sané,Mediocampista,Alemania,192565,20000000,15,12,1.25,9.89,20000000
Nadiem Amiri,Mediocampista,Alemania,232454,17000000,15,11,1.364,10.74,17000000
Felix Nmecha,Mediocampista,Alemania,406640,50000000,9,7,1.286,10.16,50000000
Assan Ouédraogo,Mediocampista,Alemania,897424,28000000,11,2,5.5,36.77,28000000
Kai Havertz,Delantero,Alemania,309400,55000000,15,9,1.667,12.97,55000000
Nick Woltemade,Delantero,Alemania,455661,55000000,7,6,1.167,9.27,55000000
Maximilian Beier,Delantero,Alemania,578392,40000000,8,5,1.6,12.48,40000000
Deniz Undav,Delantero,Alemania,339314,22000000,8,11,0.727,5.88,22000000
David Ospina,Portero,Colombia,73396,100000,15,19,0.789,6.36,100000
Camilo Vargas,Portero,Colombia,74113,450000,1,19,0.053,0.44,450000
Álvaro Montero,Portero,Colombia,221990,2500000,4,18,0.222,1.83,2500000
Daniel Muñoz,Defensa,Colombia,493003,22000000,4,12,0.333,2.74,22000000
Jhon Lucumí,Defensa,Colombia,413565,22000000,5,9,0.556,4.53,22000000
Santiago Arias,Defensa,Colombia,120443,1200000,15,16,0.938,7.52,1200000
Yerry Mina,Defensa,Colombia,289446,2500000,15,13,1.154,9.17,2500000
Johan Mojica,Defensa,Colombia,262939,1500000,8,15,0.533,4.34,1500000
Willer Ditta,Defensa,Colombia,609255,5500000,0,10,0.0,0.0,5500000
Déiver Machado,Defensa,Colombia,332560,1800000,13,14,0.929,7.45,1800000
Dávinson Sánchez,Defensa,Colombia,341429,16000000,11,12,0.917,7.36,16000000
Kevin Castaño,Mediocampista,Colombia,857948,5000000,0,7,0.0,0.0,5000000
Richard Ríos,Mediocampista,Colombia,735573,25000000,2,8,0.25,2.06,25000000
Jorge Carrascal,Mediocampista,Colombia,354145,13000000,4,10,0.4,3.28,13000000
James Rodríguez,Mediocampista,Colombia,88103,1500000,15,16,0.938,7.52,1500000
Jhon Arias,Mediocampista,Colombia,588989,15000000,0,10,0.0,0.0,15000000
Gustavo Puerta,Mediocampista,Colombia,936981,10000000,0,4,0.0,0.0,10000000
Juan Portilla,Mediocampista,Colombia,585747,5000000,2,9,0.222,1.83,5000000
Jefferson Lerma,Mediocampista,Colombia,262980,6000000,15,13,1.154,9.17,6000000
Juan Fernando Quintero,Mediocampista,Colombia,122582,1800000,15,15,1.0,8.0,1800000
Luis Díaz,Delantero,Colombia,480692,70000000,4,11,0.364,2.99,70000000
Jhon Córdoba,Delantero,Colombia,185245,10000000,15,15,1.0,8.0,10000000
Juan Camilo Hernández,Delantero,Colombia,459463,18000000,9,9,1.0,8.0,18000000
Jáminton Campaz,Delantero,Colombia,491553,5500000,7,8,0.875,7.03,5500000
Luis Suárez,Delantero,Colombia,44352,1500000,15,21,0.714,5.78,1500000
Carlos Andrés Gómez,Delantero,Colombia,957461,11000000,3,5,0.6,4.88,11000000
Johny Placide,Portero,Haití,51035,150000,2,20,0.1,0.83,150000
Alexandre Pierre,Portero,Haití,838947,700000,0,7,0.0,0.0,700000
